TIME,GEO,AGE,SEX,Value
1987,Suisse,Total,Total,6523413
1987,Monaco,Total,Total,NaN
1988,Belgique,Total,Total,9875716
1988,Bulgarie,Total,Total,8976255
1988,Estonie,Total,Total,1558137
1988,France,Total,Total,NaN
1988,Italie,Total,Total,56609375
1988,Chypre,Total,Total,556584
1988,Lituanie,Total,Total,3635295
1988,Malte,Total,Total,345636
1988,Suisse,Total,Total,6566799
1988,Monaco,Total,Total,NaN
1989,Belgique,Total,Total,9927612
1989,Bulgarie,Total,Total,8986636
1989,Estonie,Total,Total,1565662
1989,France,Total,Total,NaN
1989,Italie,Total,Total,56649201
1989,Chypre,Total,Total,562693
1989,Lituanie,Total,Total,3674802
1989,Malte,Total,Total,349014
1989,Suisse,Total,Total,6619973
1989,Monaco,Total,Total,NaN
1990,Belgique,Total,Total,9947782
1990,Bulgarie,Total,Total,8767308
1990,Estonie,Total,Total,1570599
1990,France,Total,Total,NaN
1990,Italie,Total,Total,56694360
1990,Chypre,Total,Total,572655
1990,Lituanie,Total,Total,3693708
1990,Malte,Total,Total,352430
1990,Suisse,Total,Total,6673850
1990,Monaco,Total,Total,NaN
1991,Belgique,Total,Total,9986975
1991,Bulgarie,Total,Total,8669269
1991,Estonie,Total,Total,1567749
1991,France,Total,Total,58313439
1991,Italie,Total,Total,56744119
1991,Chypre,Total,Total,587141
1991,Lituanie,Total,Total,3701968
1991,Malte,Total,Total,355910
1991,Suisse,Total,Total,6757188
1991,Monaco,Total,Total,NaN
1992,Belgique,Total,Total,10021997
1992,Bulgarie,Total,Total,8595465
1992,Estonie,Total,Total,1554878
1992,France,Total,Total,58604851
1992,Italie,Total,Total,56772923
1992,Chypre,Total,Total,603069
1992,Lituanie,Total,Total,3706299
1992,Malte,Total,Total,359543
1992,Suisse,Total,Total,6842768
1992,Monaco,Total,Total,NaN
1993,Belgique,Total,Total,10068319
1993,Bulgarie,Total,Total,8484863
1993,Estonie,Total,Total,1511303
1993,France,Total,Total,58885929
1993,Italie,Total,Total,56821250
1993,Chypre,Total,Total,619231
1993,Lituanie,Total,Total,3693929
1993,Malte,Total,Total,362977
1993,Suisse,Total,Total,6907959
1993,Monaco,Total,Total,NaN
1994,Belgique,Total,Total,10100631
1994,Bulgarie,Total,Total,8459763
1994,Estonie,Total,Total,1476952
1994,France,Total,Total,59104320
1994,Italie,Total,Total,56842392
1994,Chypre,Total,Total,632944
1994,Lituanie,Total,Total,3671296
1994,Malte,Total,Total,366431
1994,Suisse,Total,Total,6968570
1994,Monaco,Total,Total,NaN
1995,Belgique,Total,Total,10130574
1995,Bulgarie,Total,Total,8427418
1995,Estonie,Total,Total,1448075
1995,France,Total,Total,59315139
1995,Italie,Total,Total,56844408
1995,Chypre,Total,Total,645399
1995,Lituanie,Total,Total,3642991
1995,Malte,Total,Total,369451
1995,Suisse,Total,Total,7019019
1995,Monaco,Total,Total,NaN
1996,Belgique,Total,Total,10143047
1996,Bulgarie,Total,Total,8384715
1996,Estonie,Total,Total,1425192
1996,France,Total,Total,59522297
1996,Italie,Total,Total,56844197
1996,Chypre,Total,Total,656333
1996,Lituanie,Total,Total,3615212
1996,Malte,Total,Total,371415
1996,Suisse,Total,Total,7062354
1996,Monaco,Total,Total,NaN
1997,Belgique,Total,Total,10170226
1997,Bulgarie,Total,Total,8340936
1997,Estonie,Total,Total,1405996
1997,France,Total,Total,59726386
1997,Italie,Total,Total,56876364
1997,Chypre,Total,Total,666313
1997,Lituanie,Total,Total,3588013
1997,Malte,Total,Total,373958
1997,Suisse,Total,Total,7081346
1997,Monaco,Total,Total,NaN
1998,Belgique,Total,Total,10192264
1998,Bulgarie,Total,Total,8283200
